stateCode,sourceCode,sectorCode,year,msnCode,energyProduced
IN,NU,TC,1960,NUETB,0
IN,PA,AC,1960,PAACB,253210
IN,PA,CC,1960,PACCB,30754
IN,PA,EI,1960,PAEIB,1399
IN,PA,IC,1960,PAICB,233105
IN,PA,RC,1960,PARCB,82187
IN,PA,TC,1960,PATCB,600655
IN,RE,TC,1960,RETCB,24556
KS,CL,AC,1960,CLACB,68
KS,CL,CC,1960,CLCCB,554
KS,CL,EI,1960,CLEIB,10342
KS,CL,IC,1960,CLICB,3962
KS,CL,RC,1960,CLRCB,797
KS,CL,TC,1960,CLTXB,5382
KS,NG,AC,1960,NGACB,44260
KS,NG,CC,1960,NGCCB,42616
KS,NG,EI,1960,NGEIB,85072
KS,NG,IC,1960,NGICB,125654
KS,NG,RC,1960,NGRCB,76062
KS,NG,TC,1960,NGTXB,288592
KS,NU,TC,1960,NUETB,0
KS,PA,AC,1960,PAACB,128530
KS,PA,CC,1960,PACCB,4111
KS,PA,EI,1960,PAEIB,2159
KS,PA,IC,1960,PAICB,101724
KS,PA,RC,1960,PARCB,15893
KS,PA,TC,1960,PATCB,252417
KS,RE,TC,1960,RETCB,4123
KY,CL,AC,1960,CLACB,1595
KY,CL,CC,1960,CLCCB,7270
KY,CL,EI,1960,CLEIB,171500
KY,CL,IC,1960,CLICB,95912
KY,CL,RC,1960,CLRCB,10461
KY,CL,TC,1960,CLTXB,115238
KY,NG,AC,1960,NGACB,19595
KY,NG,CC,1960,NGCCB,18903
KY,NG,EI,1960,NGEIB,2368
KY,NG,IC,1960,NGICB,47727
KY,NG,RC,1960,NGRCB,65214
KY,NG,TC,1960,NGTXB,151439
KY,NU,TC,1960,NUETB,0
KY,PA,AC,1960,PAACB,132446
KY,PA,CC,1960,PACCB,6574
KY,PA,EI,1960,PAEIB,61
KY,PA,IC,1960,PAICB,49408
KY,PA,RC,1960,PARCB,11930
KY,PA,TC,1960,PATCB,200419
KY,RE,TC,1960,RETCB,50751
LA,CL,AC,1960,CLACB,0
LA,CL,CC,1960,CLCCB,0
LA,CL,EI,1960,CLEIB,0
LA,CL,IC,1960,CLICB,0
LA,CL,RC,1960,CLRCB,0
LA,CL,TC,1960,CLTXB,0
LA,NG,AC,1960,NGACB,32776
LA,NG,CC,1960,NGCCB,24305
LA,NG,EI,1960,NGEIB,124012
LA,NG,IC,1960,NGICB,764926
LA,NG,RC,1960,NGRCB,57752
LA,NG,TC,1960,NGTXB,879759
LA,NU,TC,1960,NUETB,0
LA,PA,AC,1960,PAACB,223869
LA,PA,CC,1960,PACCB,15486
LA,PA,EI,1960,PAEIB,356
LA,PA,IC,1960,PAICB,222029
LA,PA,RC,1960,PARCB,5197
LA,PA,TC,1960,PATCB,466937
LA,RE,TC,1960,RETCB,38992
MA,CL,AC,1960,CLACB,569
MA,CL,CC,1960,CLCCB,8421
MA,CL,EI,1960,CLEIB,64462
MA,CL,IC,1960,CLICB,33176
MA,CL,RC,1960,CLRCB,12118
MA,CL,TC,1960,CLTXB,54283
MA,NG,AC,1960,NGACB,284
MA,NG,CC,1960,NGCCB,10596
MA,NG,EI,1960,NGEIB,11163
MA,NG,IC,1960,NGICB,11979
MA,NG,RC,1960,NGRCB,46591
MA,NG,TC,1960,NGTXB,69449
MA,NU,TC,1960,NUETB,394
MA,PA,AC,1960,PAACB,218126
MA,PA,CC,1960,PACCB,136761
MA,PA,EI,1960,PAEIB,64423
MA,PA,IC,1960,PAICB,154951
MA,PA,RC,1960,PARCB,229797
MA,PA,TC,1960,PATCB,804058
MA,RE,TC,1960,RETCB,53354
MD,CL,AC,1960,CLACB,2254
MD,CL,CC,1960,CLCCB,2935
MD,CL,EI,1960,CLEIB,82193
MD,CL,IC,1960,CLICB,134960
MD,CL,RC,1960,CLRCB,4224
MD,CL,TC,1960,CLTXB,144373
MD,NG,AC,1960,NGACB,880
MD,NG,CC,1960,NGCCB,8301
MD,NG,EI,1960,NGEIB,81
MD,NG,IC,1960,NGICB,16568
MD,NG,RC,1960,NGRCB,47486
MD,NG,TC,1960,NGTXB,73235
MD,NU,TC,1960,NUETB,0
MD,PA,AC,1960,PAACB,169576
MD,PA,CC,1960,PACCB,30745
MD,PA,EI,1960,PAEIB,1137
MD,PA,IC,1960,PAICB,101880
MD,PA,RC,1960,PARCB,49839
MD,PA,TC,1960,PATCB,353177
MD,RE,TC,1960,RETCB,38447
ME,CL,AC,1960,CLACB,250
ME,CL,CC,1960,CLCCB,2109
ME,CL,EI,1960,CLEIB,477
ME,CL,IC,1960,CLICB,14539
ME,CL,RC,1960,CLRCB,3034
ME,CL,TC,1960,CLTXB,19932
ME,NG,AC,1960,NGACB,0
ME,NG,CC,1960,NGCCB,0
ME,NG,EI,1960,NGEIB,0
ME,NG,IC,1960,NGICB,0
ME,NG,RC,1960,NGRCB,0
ME,NG,TC,1960,NGTXB,0
ME,NU,TC,1960,NUETB,0
ME,PA,AC,1960,PAACB,66448
ME,PA,CC,1960,PACCB,8214
ME,PA,EI,1960,PAEIB,11833
ME,PA,IC,1960,PAICB,25687
ME,PA,RC,1960,PARCB,40161
ME,PA,TC,1960,PATCB,152342
ME,RE,TC,1960,RETCB,59784
MI,CL,AC,1960,CLACB,5547
MI,CL,CC,1960,CLCCB,24324
MI,CL,EI,1960,CLEIB,256299
MI,CL,IC,1960,CLICB,331969
MI,CL,RC,1960,CLRCB,35003
MI,CL,TC,1960,CLTXB,396842
MI,NG,AC,1960,NGACB,2692
MI,NG,CC,1960,NGCCB,44506
MI,NG,EI,1960,NGEIB,5391
MI,NG,IC,1960,NGICB,121345
MI,NG,RC,1960,NGRCB,209046
MI,NG,TC,1960,NGTXB,377589
MI,NU,TC,1960,NUETB,0
MI,PA,AC,1960,PAACB,378942
MI,PA,CC,1960,PACCB,31743
MI,PA,EI,1960,PAEIB,2730
MI,PA,IC,1960,PAICB,186337
MI,PA,RC,1960,PARCB,113600
MI,PA,TC,1960,PATCB,713352
MI,RE,TC,1960,RETCB,59100
MN,CL,AC,1960,CLACB,856
MN,CL,CC,1960,CLCCB,8504
MN,CL,EI,1960,CLEIB,54469
MN,CL,IC,1960,CLICB,55199
MN,CL,RC,1960,CLRCB,12237
MN,CL,TC,1960,CLTXB,76796
MN,NG,AC,1960,NGACB,315
MN,NG,CC,1960,NGCCB,21041
MN,NG,EI,1960,NGEIB,50219
MN,NG,IC,1960,NGICB,50975
MN,NG,RC,1960,NGRCB,63572
MN,NG,TC,1960,NGTXB,135902
MN,NU,TC,1960,NUETB,0
MN,PA,AC,1960,PAACB,180190
MN,PA,CC,1960,PACCB,16369
MN,PA,EI,1960,PAEIB,2410
MN,PA,IC,1960,PAICB,128605
MN,PA,RC,1960,PARCB,53708
MN,PA,TC,1960,PATCB,381283
MN,RE,TC,1960,RETCB,34957
MO,CL,AC,1960,CLACB,1056
MO,CL,CC,1960,CLCCB,11149
MO,CL,EI,1960,CLEIB,80476
MO,CL,IC,1960,CLICB,62181
MO,CL,RC,1960,CLRCB,16044
MO,CL,TC,1960,CLTXB,90431
MO,NG,AC,1960,NGACB,8243
MO,NG,CC,1960,NGCCB,33826
MO,NG,EI,1960,NGEIB,31310
MO,NG,IC,1960,NGICB,81694
MO,NG,RC,1960,NGRCB,115001
MO,NG,TC,1960,NGTXB,238764
MO,NU,TC,1960,NUETB,0
MO,PA,AC,1960,PAACB,244450
MO,PA,CC,1960,PACCB,28415
