stateCode,sourceCode,year,msnCode,energyProduced
X5,PA,1960,PAPRB,0.0
AK,CL,1961,CLPRB,11497.0
AK,NG,1961,NGMPB,637.0
AK,NU,1961,NUETB,0.0
AK,PA,1961,PAPRB,36697.0
AK,RE,1961,REPRB,7313.0
AL,CL,1961,CLPRB,316466.0
AL,NG,1961,NGMPB,91.0
AL,NU,1961,NUETB,0.0
AL,PA,1961,PAPRB,40200.0
AL,RE,1961,REPRB,118021.0
AR,CL,1961,CLPRB,8864.0
AR,NG,1961,NGMPB,61574.0
AR,NU,1961,NUETB,0.0
AR,PA,1961,PAPRB,169627.0
AR,RE,1961,REPRB,51144.0
AZ,CL,1961,CLPRB,0.0
AZ,NG,1961,NGMPB,0.0
AZ,NU,1961,NUETB,0.0
AZ,PA,1961,PAPRB,423.0
AZ,RE,1961,REPRB,35083.0
CA,CL,1961,CLPRB,0.0
CA,NG,1961,NGMPB,634667.0
CA,NU,1961,NUETB,55.0
CA,PA,1961,PAPRB,1737732.0
CA,RE,1961,REPRB,248178.0
CO,CL,1961,CLPRB,80305.0
CO,NG,1961,NGMPB,111763.0
CO,NU,1961,NUETB,0.0
CO,PA,1961,PAPRB,271202.0
CO,RE,1961,REPRB,15464.0
CT,CL,1961,CLPRB,0.0
CT,NG,1961,NGMPB,0.0
CT,NU,1961,NUETB,0.0
CT,PA,1961,PAPRB,0.0
CT,RE,1961,REPRB,17076.0
DC,CL,1961,CLPRB,0.0
DC,NG,1961,NGMPB,0.0
DC,NU,1961,NUETB,0.0
DC,PA,1961,PAPRB,0.0
DC,RE,1961,REPRB,163.0
DE,CL,1961,CLPRB,0.0
DE,NG,1961,NGMPB,0.0
DE,NU,1961,NUETB,0.0
DE,PA,1961,PAPRB,0.0
DE,RE,1961,REPRB,5101.0
FL,CL,1961,CLPRB,0.0
FL,NG,1961,NGMPB,39.0
FL,NU,1961,NUETB,0.0
FL,PA,1961,PAPRB,2169.0
FL,RE,1961,REPRB,34417.0
GA,CL,1961,CLPRB,100.0
GA,NG,1961,NGMPB,0.0
GA,NU,1961,NUETB,0.0
GA,PA,1961,PAPRB,0.0
GA,RE,1961,REPRB,94590.0
HI,CL,1961,CLPRB,0.0
HI,NG,1961,NGMPB,0.0
HI,NU,1961,NUETB,0.0
HI,PA,1961,PAPRB,0.0
HI,RE,1961,REPRB,258.0
IA,CL,1961,CLPRB,19146.0
IA,NG,1961,NGMPB,0.0
IA,NU,1961,NUETB,0.0
IA,PA,1961,PAPRB,0.0
IA,RE,1961,REPRB,15713.0
ID,CL,1961,CLPRB,0.0
ID,NG,1961,NGMPB,0.0
ID,NU,1961,NUETB,0.0
ID,PA,1961,PAPRB,0.0
ID,RE,1961,REPRB,70403.0
IL,CL,1961,CLPRB,1004461.0
IL,NG,1961,NGMPB,18108.0
IL,NU,1961,NUETB,6144.0
IL,PA,1961,PAPRB,445544.0
IL,RE,1961,REPRB,32237.0
